Date,Area,Title,Type,Bedroom,Size,Price
 3 Bedrooms , Damansara Damai ,  [ 700SQFT LEVEL 1 ] Flat PKNS Seksyen 16 Shah Alam  ,"
Apartments
","
3 Bedrooms
","936 sq.ft
", RM 200 000 
 2 Bathrooms , USJ ,  Duplex Townhouse Sri Mahligai Seksyen 9 Shah Alam  , Apartments , 2 Bedrooms ,516 sq.ft, RM 490 000 
"  Yesterday, 21:55   Puchong   ", Kelana Jaya ,  New Condo With Promotion in Putrajaya (7 Unit Left)  , Apartments , 3 Bedrooms ,700 sq.ft, RM 399 999 
 Apartments , Kelana Jaya ,  (7 Unit Left With Promotion) New Condo in Damansara Damai  , Apartments , 3 Bedrooms ,850 sq.ft, RM 350 000 
689 sq.ft, Puchong ,"  Taman Sri Sentosa, Jalan Bendahara, Freehold, Level 3  ", Apartments , 3 Bedrooms ,1000 sq.ft, RM 90 000 
 3 Bedrooms , Bangi ,  SKIM 1st HOME FULLOAN Sri Gotong Banjaria [ BULANAN 1K+- ]  , Apartments , 3 Bedrooms ,850 sq.ft, RM 240 000 
 2 Bathrooms , Ara Damansara ,  BELOW MARKET VALUE APPARTMENT menara u2 sebelah Aeon Shah Alam  , Apartments , 3 Bedrooms ,1130 sq.ft, RM 300 000 
"  Yesterday, 21:55   Bangi   ", Seri Kembangan ,  FREEHOLD Kondominium Pelangi Sg Merab Bangi  , Apartments , 3 Bedrooms ,750 sq.ft, RM 310 000 
 Apartments , Bangi ,  STRATA O DEPO Bayu Saujana Indah Condo | PRIMA Damansara  , Apartments , 4 Bedrooms ,2005 sq.ft, RM 195 000 
652 sq.ft, Bangi ,"  For Sale= Main Place Residence USJ, Beside LRT Below Market Price!!!!  ", Apartments , 3 Bedrooms ,780 sq.ft, RM 35 500 
 3 Bedrooms , Klang ,  Service Apartment Kelana Jaya  , Apartments , 3 Bedrooms ,753 sq.ft, RM 680 000 
 2 Bathrooms , Seri Kembangan ,  First Sky Facilities in PJ Fully Furnished Package  , Apartments , 3 Bedrooms ,882 sq.ft, RM 580 000 
"  Yesterday, 21:40   Ara Damansara   ", Seri Kembangan ,"  【2nd Floor】[FULL LOAN] Sri Dahlia Apartment, Bandar Puteri Puchong  ", Apartments , 3 Bedrooms ,663 sq.ft, RM 153 000 
 Apartments , Bandar Utama ,  Apartment dahlia bandar seri putra  , Apartments , 2 Bedrooms ,665 sq.ft, RM 100 000 
940 sq.ft, Selayang ,  Lily Apartment in Taman Mayang Jaya  , Apartments , 3 Bedrooms ,850 sq.ft, RM 408 000 
 3 Bedrooms , Serdang ,  The Sanderson Suites Bukit Serdang 3r2b For SALE !!!!  , Apartments , 3 Bedrooms ,980 sq.ft, RM 420 000 
 2 Bathrooms , Damansara Damai ,  End lot apt sri tanjung bangi  , Apartments , 3 Bedrooms ,700 sq.ft, RM 190 000 
"  Yesterday, 21:30   Seri Kembangan   ", Damansara Damai ,  Renovated ground floor apartment  , Apartments , 4 Bedrooms ,1913 sq.ft, RM 245 000 
 Apartments , Balakong ,"  Below Market 27% | Pangsapuri Impian Meru, Meru Klang | 857sf Freehold  ", Apartments , 3 Bedrooms ,817 sq.ft, RM 116 700 
900 sq.ft, Ulu Klang ,"  Pangsapuri Ruselia , Equine, putrajaya , Seri Kembangan, puchong MRT  ", Apartments , 3 Bedrooms ,855 sq.ft, RM 150 000 
 3 Bedrooms , Ampang ,"  Ground floor putra indah ,fully reno ,seri kembangan equine,putrajaya  ", Apartments , 3 Bedrooms ,1200 sq.ft, RM 280 000 
 2 Bathrooms , Gombak ,"  Glomac Centro,One Utama,Kota Damansara,Damansara Perdana  ", Apartments , 3 Bedrooms ,816 sq.ft, RM 800 000 
"  Yesterday, 21:25   Bangi   ", Puchong ,"  APARTMENT FOR SALE at JULIA BANDAR BARU SELAYANG, SELANGOR  ", Apartments , 1 Bedroom ,450 sq.ft, RM 129 000 
 Apartments , Damansara Perdana ,  (Full Loan)* Serdang Perdana Apartment Seri Kembangan  , Apartments , 3 Bedrooms ,1070 sq.ft, RM 135 000 
800 sq.ft, Puchong ,  Bayu Puteri Apartment Nice Unit  , Apartments , 3 Bedrooms ,750 sq.ft, RM 420 000 
 4 Bedrooms , Kota Kemuning ,  Apartment termurah cheras  , Apartments , 2 Bedrooms ,615 sq.ft, RM 155 000 
 2 Bathrooms , Ampang ,  Saujana apartment damansara damai  , Apartments , 2 Bedrooms ,753 sq.ft, RM 250 000 
"  Yesterday, 21:05   Bangi   ", Sepang ,  [Ready Tenant Rent RM1300 Sublet] Seri Jasa Apartment walk The Mines  , Apartments , 3 Bedrooms ,753 sq.ft, RM 170 000 
 Apartments , Cyberjaya ,  Residensi Permata Melawati  , Apartments , 3 Bedrooms ,689 sq.ft, RM 463 950 
864 sq.ft, Puchong ,"  For sale (1st floor) SRI WIRA APARTMENT ,UKAY PERDANA, AMPANG  ", Apartments , 3 Bedrooms ,652 sq.ft, RM 265 000 
 3 Bedrooms , Shah Alam ,  PANORAMA SENTUL RESIDEN. Tmn Bullion Batu Caves Gombak  , Apartments , 3 Bedrooms ,940 sq.ft, RM 490 000 
 2 Bathrooms , Shah Alam ,  [FREEHOLD LEVEL 1] ORCHID APARTMENT PUCHONG PRIMA 4 min walking to LRT  , Apartments , 3 Bedrooms ,900 sq.ft, RM 245 000 
"  Yesterday, 21:00   Klang   ", Shah Alam ,"  Metropolitan square condo damansara perdana,  ", Apartments , 4 Bedrooms ,800 sq.ft, RM 900 000 
 Apartments , Cyberjaya ,  [NON BUMI TENANTED] Apartment Penaga Mas Puchong Near LRT For Sale  , Apartments , 3 Bedrooms ,864 sq.ft, RM 180 000 
857 sq.ft, Saujana ,  [FREEHOLD GROUND FLOOR] Pangsapuri Sri Kemuning Kota Kemuning S Alam  , Apartments , 3 Bedrooms ,857 sq.ft, RM 285 000 
 3 Bedrooms , Klang ,  Casamas Court !!! Ukay Bistari 0% Deposit !!! 90% Completed  , Apartments , 3 Bedrooms ,720 sq.ft, RM 363 240 
 2 Bathrooms , Batu Caves ,  Hot Selling Fast Condo at Sepang ! Fast Contact me NOW!  , Apartments , 4 Bedrooms ,864 sq.ft, RM 236 000 
"  Yesterday, 21:00   Seri Kembangan   ", Shah Alam ,  High Rental and High Capital Gain at Cyberjaya! Grad it Now!  , Apartments , 4 Bedrooms ,1423 sq.ft, RM 247 000 
 Apartments , Bangi ,  [MEDIUM COST BELOW MV CORNER] Apartment Puchong Permata 1  , Apartments , 2 Bedrooms ,487 sq.ft, RM 235 000 
720 sq.ft, Damansara Damai ,  [HOT AREA NICE DECORATION] Condominium Prima U1 Shah Alam  , Apartments , 3 Bedrooms ,720 sq.ft, RM 300 000 
 3 Bedrooms , USJ ,  [ 700SQFT LEVEL 1 ] Flat PKNS Seksyen 16 Shah Alam  , Apartments , 3 Bedrooms ,850 sq.ft, RM 200 000 
 2 Bathrooms , Kelana Jaya ,  Duplex Townhouse Sri Mahligai Seksyen 9 Shah Alam  ,"
Apartments
","
2 Bedrooms
","620 sq.ft
", RM 490 000 
"  Yesterday, 21:00   Seri Kembangan   ", Kelana Jaya ,  New Condo With Promotion in Putrajaya (7 Unit Left)  ,"
Apartments
","
2 Bedrooms
","635 sq.ft
", RM 399 999 
 Apartments , Puchong ,  (7 Unit Left With Promotion) New Condo in Damansara Damai  , Apartments , 2 Bedrooms ,516 sq.ft, RM 350 000 
864 sq.ft, Bangi ,"  Taman Sri Sentosa, Jalan Bendahara, Freehold, Level 3  ", Apartments , 3 Bedrooms ,700 sq.ft, RM 90 000 
 4 Bedrooms , Ara Damansara ,  SKIM 1st HOME FULLOAN Sri Gotong Banjaria [ BULANAN 1K+- ]  , Apartments , 3 Bedrooms ,850 sq.ft, RM 240 000 
 2 Bathrooms , Seri Kembangan ,  BELOW MARKET VALUE APPARTMENT menara u2 sebelah Aeon Shah Alam  , Apartments , 3 Bedrooms ,1000 sq.ft, RM 300 000 
"  Yesterday, 20:44   Bandar Utama   ", Bangi ,  FREEHOLD Kondominium Pelangi Sg Merab Bangi  , Apartments , 3 Bedrooms ,850 sq.ft, RM 310 000 
 Apartments , Bangi ,  STRATA O DEPO Bayu Saujana Indah Condo | PRIMA Damansara  , Apartments , 3 Bedrooms ,1130 sq.ft, RM 195 000 
1423 sq.ft, Klang ,"  For Sale= Main Place Residence USJ, Beside LRT Below Market Price!!!!  ", Apartments , 3 Bedrooms ,750 sq.ft, RM 35 500 
 4 Bedrooms , Seri Kembangan ,  Service Apartment Kelana Jaya  , Apartments , 4 Bedrooms ,2005 sq.ft, RM 680 000 
 4 Bathrooms , Seri Kembangan ,  First Sky Facilities in PJ Fully Furnished Package  , Apartments , 3 Bedrooms ,780 sq.ft, RM 580 000 
"  Yesterday, 20:24   Selayang   ", Bandar Utama ,"  【2nd Floor】[FULL LOAN] Sri Dahlia Apartment, Bandar Puteri Puchong  ", Apartments , 3 Bedrooms ,753 sq.ft, RM 153 000 
 Apartments , Selayang ,  Apartment dahlia bandar seri putra  , Apartments , 3 Bedrooms ,882 sq.ft, RM 100 000 
487 sq.ft, Serdang ,  Lily Apartment in Taman Mayang Jaya  , Apartments , 3 Bedrooms ,663 sq.ft, RM 408 000 
 2 Bedrooms , Damansara Damai ,  The Sanderson Suites Bukit Serdang 3r2b For SALE !!!!  , Apartments , 2 Bedrooms ,665 sq.ft, RM 420 000 
 1 Bathroom , Damansara Damai ,  End lot apt sri tanjung bangi  , Apartments , 3 Bedrooms ,850 sq.ft, RM 190 000 
"  Yesterday, 19:50   Serdang   ", Balakong ,  Renovated ground floor apartment  , Apartments , 3 Bedrooms ,980 sq.ft, RM 245 000 
 Apartments , Ulu Klang ,"  Below Market 27% | Pangsapuri Impian Meru, Meru Klang | 857sf Freehold  ", Apartments , 3 Bedrooms ,700 sq.ft, RM 116 700 
720 sq.ft, Ampang ,"  Pangsapuri Ruselia , Equine, putrajaya , Seri Kembangan, puchong MRT  ", Apartments , 4 Bedrooms ,1913 sq.ft, RM 150 000 
 3 Bedrooms , Gombak ,"  Ground floor putra indah ,fully reno ,seri kembangan equine,putrajaya  ", Apartments , 3 Bedrooms ,817 sq.ft, RM 280 000 
 1 Bathroom , Puchong ,"  Glomac Centro,One Utama,Kota Damansara,Damansara Perdana  ", Apartments , 3 Bedrooms ,855 sq.ft, RM 800 000 
"  Yesterday, 19:47   Tropicana   ", Damansara Perdana ,"  APARTMENT FOR SALE at JULIA BANDAR BARU SELAYANG, SELANGOR  ", Apartments , 3 Bedrooms ,1200 sq.ft, RM 129 000 
 Apartments , Puchong ,  (Full Loan)* Serdang Perdana Apartment Seri Kembangan  , Apartments , 3 Bedrooms ,816 sq.ft, RM 135 000 
850 sq.ft, Kota Kemuning ,  Bayu Puteri Apartment Nice Unit  , Apartments , 1 Bedroom ,450 sq.ft, RM 420 000 
 3 Bedrooms , Ampang ,  Apartment termurah cheras  , Apartments , 3 Bedrooms ,1070 sq.ft, RM 155 000 
 2 Bathrooms , Sepang ,  Saujana apartment damansara damai  , Apartments , 3 Bedrooms ,750 sq.ft, RM 250 000 
"
New
", Cyberjaya ,  [Ready Tenant Rent RM1300 Sublet] Seri Jasa Apartment walk The Mines  , Apartments , 2 Bedrooms ,615 sq.ft, RM 170 000 
"
Hobby & Collectibles
", Puchong ,  Residensi Permata Melawati  , Apartments , 2 Bedrooms ,753 sq.ft, RM 463 950 
"  Today, 04:13   Damansara Damai   ", Shah Alam ,"  For sale (1st floor) SRI WIRA APARTMENT ,UKAY PERDANA, AMPANG  ", Apartments , 3 Bedrooms ,753 sq.ft, RM 265 000 
 Apartments , Shah Alam ,  PANORAMA SENTUL RESIDEN. Tmn Bullion Batu Caves Gombak  , Apartments , 3 Bedrooms ,689 sq.ft, RM 490 000 
516 sq.ft, Shah Alam ,  [FREEHOLD LEVEL 1] ORCHID APARTMENT PUCHONG PRIMA 4 min walking to LRT  , Apartments , 3 Bedrooms ,652 sq.ft, RM 245 000 
 2 Bedrooms , Cyberjaya ,"  Metropolitan square condo damansara perdana,  ", Apartments , 3 Bedrooms ,940 sq.ft, RM 900 000 
 1 Bathroom , Saujana ,  [NON BUMI TENANTED] Apartment Penaga Mas Puchong Near LRT For Sale  , Apartments , 3 Bedrooms ,900 sq.ft, RM 180 000 
"  Today, 03:08   Damansara Damai   ", Klang ,  [FREEHOLD GROUND FLOOR] Pangsapuri Sri Kemuning Kota Kemuning S Alam  , Apartments , 4 Bedrooms ,800 sq.ft, RM 285 000 
 Apartments , Batu Caves ,  Casamas Court !!! Ukay Bistari 0% Deposit !!! 90% Completed  , Apartments , 3 Bedrooms ,864 sq.ft, RM 363 240 
700 sq.ft, Shah Alam ,  Hot Selling Fast Condo at Sepang ! Fast Contact me NOW!  , Apartments , 3 Bedrooms ,857 sq.ft, RM 236 000 
 3 Bedrooms , Bangi ,  High Rental and High Capital Gain at Cyberjaya! Grad it Now!  , Apartments , 3 Bedrooms ,720 sq.ft, RM 247 000 
 2 Bathrooms , Damansara Damai ,  [MEDIUM COST BELOW MV CORNER] Apartment Puchong Permata 1  , Apartments , 4 Bedrooms ,864 sq.ft, RM 235 000 
"  Today, 03:07   Balakong   ", USJ ,  [HOT AREA NICE DECORATION] Condominium Prima U1 Shah Alam  , Apartments , 4 Bedrooms ,1423 sq.ft, RM 300 000 
 Apartments , Kelana Jaya ,  [ 700SQFT LEVEL 1 ] Flat PKNS Seksyen 16 Shah Alam  , Apartments , 2 Bedrooms ,487 sq.ft, RM 200 000 
850 sq.ft, Kelana Jaya ,  Duplex Townhouse Sri Mahligai Seksyen 9 Shah Alam  , Apartments , 3 Bedrooms ,720 sq.ft, RM 490 000 
 3 Bedrooms , Puchong ,  New Condo With Promotion in Putrajaya (7 Unit Left)  , Apartments , 3 Bedrooms ,850 sq.ft, RM 399 999 
 2 Bathrooms , Bangi ,  (7 Unit Left With Promotion) New Condo in Damansara Damai  ,"
Apartments
","
3 Bedrooms
","750 sq.ft
", RM 350 000 
"  Today, 02:05   Ulu Klang   ", Ara Damansara ,"  Taman Sri Sentosa, Jalan Bendahara, Freehold, Level 3  ","
Apartments
","
3 Bedrooms
","1000 sq.ft
", RM 90 000 
 Apartments , Seri Kembangan ,  SKIM 1st HOME FULLOAN Sri Gotong Banjaria [ BULANAN 1K+- ]  , Apartments , 2 Bedrooms ,516 sq.ft, RM 240 000 
1000 sq.ft, Bangi ,  BELOW MARKET VALUE APPARTMENT menara u2 sebelah Aeon Shah Alam  , Apartments , 3 Bedrooms ,700 sq.ft, RM 300 000 
 3 Bedrooms , Bangi ,  FREEHOLD Kondominium Pelangi Sg Merab Bangi  , Apartments , 3 Bedrooms ,850 sq.ft, RM 310 000 
 2 Bathrooms , Klang ,  STRATA O DEPO Bayu Saujana Indah Condo | PRIMA Damansara  , Apartments , 3 Bedrooms ,1000 sq.ft, RM 195 000 
"  Today, 02:05   Ampang   ", Seri Kembangan ,"  For Sale= Main Place Residence USJ, Beside LRT Below Market Price!!!!  ", Apartments , 3 Bedrooms ,850 sq.ft, RM 35 500 
 Apartments , Seri Kembangan ,  Service Apartment Kelana Jaya  , Apartments , 3 Bedrooms ,1130 sq.ft, RM 680 000 
850 sq.ft, Bandar Utama ,  First Sky Facilities in PJ Fully Furnished Package  , Apartments , 3 Bedrooms ,750 sq.ft, RM 580 000 
 3 Bedrooms , Selayang ,"  【2nd Floor】[FULL LOAN] Sri Dahlia Apartment, Bandar Puteri Puchong  ", Apartments , 4 Bedrooms ,2005 sq.ft, RM 153 000 
 2 Bathrooms , Serdang ,  Apartment dahlia bandar seri putra  , Apartments , 3 Bedrooms ,780 sq.ft, RM 100 000 
"  Today, 01:22   Gombak   ", Damansara Damai ,  Lily Apartment in Taman Mayang Jaya  , Apartments , 3 Bedrooms ,753 sq.ft, RM 408 000 
 Apartments , Damansara Damai ,  The Sanderson Suites Bukit Serdang 3r2b For SALE !!!!  , Apartments , 3 Bedrooms ,882 sq.ft, RM 420 000 
1130 sq.ft, Balakong ,  End lot apt sri tanjung bangi  , Apartments , 3 Bedrooms ,663 sq.ft, RM 190 000 
 3 Bedrooms , Ulu Klang ,  Renovated ground floor apartment  , Apartments , 2 Bedrooms ,665 sq.ft, RM 245 000 
 2 Bathrooms , Ampang ,"  Below Market 27% | Pangsapuri Impian Meru, Meru Klang | 857sf Freehold  ", Apartments , 3 Bedrooms ,850 sq.ft, RM 116 700 
"  Today, 01:18   Puchong   ", Gombak ,"  Pangsapuri Ruselia , Equine, putrajaya , Seri Kembangan, puchong MRT  ", Apartments , 3 Bedrooms ,980 sq.ft, RM 150 000 
 Apartments , Puchong ,"  Ground floor putra indah ,fully reno ,seri kembangan equine,putrajaya  ", Apartments , 3 Bedrooms ,700 sq.ft, RM 280 000 
750 sq.ft, Damansara Perdana ,"  Glomac Centro,One Utama,Kota Damansara,Damansara Perdana  ", Apartments , 4 Bedrooms ,1913 sq.ft, RM 800 000 
 3 Bedrooms , Puchong ,"  APARTMENT FOR SALE at JULIA BANDAR BARU SELAYANG, SELANGOR  ", Apartments , 3 Bedrooms ,817 sq.ft, RM 129 000 
 2 Bathrooms , Kota Kemuning ,  (Full Loan)* Serdang Perdana Apartment Seri Kembangan  , Apartments , 3 Bedrooms ,855 sq.ft, RM 135 000 
"  Today, 00:50   Damansara Perdana   ", Ampang ,  Bayu Puteri Apartment Nice Unit  , Apartments , 3 Bedrooms ,1200 sq.ft, RM 420 000 
 Apartments , Sepang ,  Apartment termurah cheras  , Apartments , 3 Bedrooms ,816 sq.ft, RM 155 000 
2005 sq.ft, Cyberjaya ,  Saujana apartment damansara damai  , Apartments , 1 Bedroom ,450 sq.ft, RM 250 000 
 4 Bedrooms , Puchong ,  [Ready Tenant Rent RM1300 Sublet] Seri Jasa Apartment walk The Mines  , Apartments , 3 Bedrooms ,1070 sq.ft, RM 170 000 
 4 Bathrooms , Shah Alam ,  Residensi Permata Melawati  , Apartments , 3 Bedrooms ,750 sq.ft, RM 463 950 
"  Today, 00:20   Puchong   ", Shah Alam ,"  For sale (1st floor) SRI WIRA APARTMENT ,UKAY PERDANA, AMPANG  ", Apartments , 2 Bedrooms ,615 sq.ft, RM 265 000 
 Apartments , Shah Alam ,  PANORAMA SENTUL RESIDEN. Tmn Bullion Batu Caves Gombak  , Apartments , 2 Bedrooms ,753 sq.ft, RM 490 000 
780 sq.ft, Cyberjaya ,  [FREEHOLD LEVEL 1] ORCHID APARTMENT PUCHONG PRIMA 4 min walking to LRT  , Apartments , 3 Bedrooms ,753 sq.ft, RM 245 000 
 3 Bedrooms , Saujana ,"  Metropolitan square condo damansara perdana,  ", Apartments , 3 Bedrooms ,689 sq.ft, RM 900 000 
 2 Bathrooms , Klang ,  [NON BUMI TENANTED] Apartment Penaga Mas Puchong Near LRT For Sale  , Apartments , 3 Bedrooms ,652 sq.ft, RM 180 000 
"  Today, 00:20   Kota Kemuning   ", Batu Caves ,  [FREEHOLD GROUND FLOOR] Pangsapuri Sri Kemuning Kota Kemuning S Alam  , Apartments , 3 Bedrooms ,940 sq.ft, RM 285 000 
 Apartments , Shah Alam ,  Casamas Court !!! Ukay Bistari 0% Deposit !!! 90% Completed  , Apartments , 3 Bedrooms ,900 sq.ft, RM 363 240 
753 sq.ft, Bangi ,  Hot Selling Fast Condo at Sepang ! Fast Contact me NOW!  , Apartments , 4 Bedrooms ,800 sq.ft, RM 236 000 
 3 Bedrooms , Damansara Damai ,  High Rental and High Capital Gain at Cyberjaya! Grad it Now!  , Apartments , 3 Bedrooms ,864 sq.ft, RM 247 000 
 2 Bathrooms , USJ ,  [MEDIUM COST BELOW MV CORNER] Apartment Puchong Permata 1  , Apartments , 3 Bedrooms ,857 sq.ft, RM 235 000 
"  Today, 00:10   Ampang   ", Kelana Jaya ,  [HOT AREA NICE DECORATION] Condominium Prima U1 Shah Alam  , Apartments , 3 Bedrooms ,720 sq.ft, RM 300 000 
 Apartments , Kelana Jaya ,  [ 700SQFT LEVEL 1 ] Flat PKNS Seksyen 16 Shah Alam  , Apartments , 4 Bedrooms ,864 sq.ft, RM 200 000 
882 sq.ft, Puchong ,  Duplex Townhouse Sri Mahligai Seksyen 9 Shah Alam  , Apartments , 4 Bedrooms ,1423 sq.ft, RM 490 000 
 3 Bedrooms , Bangi ,  New Condo With Promotion in Putrajaya (7 Unit Left)  , Apartments , 2 Bedrooms ,487 sq.ft, RM 399 999 
 2 Bathrooms , Ara Damansara ,  (7 Unit Left With Promotion) New Condo in Damansara Damai  , Apartments , 3 Bedrooms ,720 sq.ft, RM 350 000 
"  Today, 00:05   Sepang   ", Seri Kembangan ,"  Taman Sri Sentosa, Jalan Bendahara, Freehold, Level 3  ", Apartments , 3 Bedrooms ,850 sq.ft, RM 90 000 
 Apartments , Bangi ,  SKIM 1st HOME FULLOAN Sri Gotong Banjaria [ BULANAN 1K+- ]  ,"
Apartments
","
3 Bedrooms
","1093 sq.ft
", RM 240 000 
663 sq.ft, Bangi ,  BELOW MARKET VALUE APPARTMENT menara u2 sebelah Aeon Shah Alam  ,"
Apartments
","
3 Bedrooms
","1704 sq.ft
", RM 300 000 
 3 Bedrooms , Klang ,  FREEHOLD Kondominium Pelangi Sg Merab Bangi  , Apartments , 2 Bedrooms ,516 sq.ft, RM 310 000 
 2 Bathrooms , Seri Kembangan ,  STRATA O DEPO Bayu Saujana Indah Condo | PRIMA Damansara  , Apartments , 3 Bedrooms ,700 sq.ft, RM 195 000 
"  Today, 00:05   Cyberjaya   ", Seri Kembangan ,"  For Sale= Main Place Residence USJ, Beside LRT Below Market Price!!!!  ", Apartments , 3 Bedrooms ,850 sq.ft, RM 35 500 
 Apartments , Bandar Utama ,  Service Apartment Kelana Jaya  , Apartments , 3 Bedrooms ,1000 sq.ft, RM 680 000 
665 sq.ft, Selayang ,  First Sky Facilities in PJ Fully Furnished Package  , Apartments , 3 Bedrooms ,850 sq.ft, RM 580 000 
 2 Bedrooms , Serdang ,"  【2nd Floor】[FULL LOAN] Sri Dahlia Apartment, Bandar Puteri Puchong  ", Apartments , 3 Bedrooms ,1130 sq.ft, RM 153 000 
 2 Bathrooms , Damansara Damai ,  Apartment dahlia bandar seri putra  , Apartments , 3 Bedrooms ,750 sq.ft, RM 100 000 
"  Yesterday, 23:45   Puchong   ", Damansara Damai ,  Lily Apartment in Taman Mayang Jaya  , Apartments , 4 Bedrooms ,2005 sq.ft, RM 408 000 
 Apartments , Balakong ,  The Sanderson Suites Bukit Serdang 3r2b For SALE !!!!  , Apartments , 3 Bedrooms ,780 sq.ft, RM 420 000 
850 sq.ft, Ulu Klang ,  End lot apt sri tanjung bangi  , Apartments , 3 Bedrooms ,753 sq.ft, RM 190 000 
 3 Bedrooms , Ampang ,  Renovated ground floor apartment  , Apartments , 3 Bedrooms ,882 sq.ft, RM 245 000 
 2 Bathrooms , Gombak ,"  Below Market 27% | Pangsapuri Impian Meru, Meru Klang | 857sf Freehold  ", Apartments , 3 Bedrooms ,663 sq.ft, RM 116 700 
"  Yesterday, 23:45   Shah Alam   ", Puchong ,"  Pangsapuri Ruselia , Equine, putrajaya , Seri Kembangan, puchong MRT  ", Apartments , 2 Bedrooms ,665 sq.ft, RM 150 000 
 Apartments , Damansara Perdana ,"  Ground floor putra indah ,fully reno ,seri kembangan equine,putrajaya  ", Apartments , 3 Bedrooms ,850 sq.ft, RM 280 000 
980 sq.ft, Puchong ,"  Glomac Centro,One Utama,Kota Damansara,Damansara Perdana  ", Apartments , 3 Bedrooms ,980 sq.ft, RM 800 000 
 3 Bedrooms , Kota Kemuning ,"  APARTMENT FOR SALE at JULIA BANDAR BARU SELAYANG, SELANGOR  ", Apartments , 3 Bedrooms ,700 sq.ft, RM 129 000 
 2 Bathrooms , Ampang ,  (Full Loan)* Serdang Perdana Apartment Seri Kembangan  , Apartments , 4 Bedrooms ,1913 sq.ft, RM 135 000 
"  Yesterday, 23:45   Shah Alam   ", Sepang ,  Bayu Puteri Apartment Nice Unit  , Apartments , 3 Bedrooms ,817 sq.ft, RM 420 000 
 Apartments , Cyberjaya ,  Apartment termurah cheras  , Apartments , 3 Bedrooms ,855 sq.ft, RM 155 000 
700 sq.ft, Puchong ,  Saujana apartment damansara damai  , Apartments , 3 Bedrooms ,1200 sq.ft, RM 250 000 
 3 Bedrooms , Shah Alam ,  [Ready Tenant Rent RM1300 Sublet] Seri Jasa Apartment walk The Mines  , Apartments , 3 Bedrooms ,816 sq.ft, RM 170 000 
 2 Bathrooms , Shah Alam ,  Residensi Permata Melawati  , Apartments , 1 Bedroom ,450 sq.ft, RM 463 950 
"  Yesterday, 23:10   Shah Alam   ", Shah Alam ,"  For sale (1st floor) SRI WIRA APARTMENT ,UKAY PERDANA, AMPANG  ", Apartments , 3 Bedrooms ,1070 sq.ft, RM 265 000 
 Apartments , Cyberjaya ,  PANORAMA SENTUL RESIDEN. Tmn Bullion Batu Caves Gombak  , Apartments , 3 Bedrooms ,750 sq.ft, RM 490 000 
1913 sq.ft, Saujana ,  [FREEHOLD LEVEL 1] ORCHID APARTMENT PUCHONG PRIMA 4 min walking to LRT  , Apartments , 2 Bedrooms ,615 sq.ft, RM 245 000 
 4 Bedrooms , Klang ,"  Metropolitan square condo damansara perdana,  ", Apartments , 2 Bedrooms ,753 sq.ft, RM 900 000 
 4 Bathrooms , Batu Caves ,  [NON BUMI TENANTED] Apartment Penaga Mas Puchong Near LRT For Sale  , Apartments , 3 Bedrooms ,753 sq.ft, RM 180 000 
"  Yesterday, 23:09   Cyberjaya   ", Shah Alam ,  [FREEHOLD GROUND FLOOR] Pangsapuri Sri Kemuning Kota Kemuning S Alam  , Apartments , 3 Bedrooms ,689 sq.ft, RM 285 000 
 Apartments , Bangi ,  Casamas Court !!! Ukay Bistari 0% Deposit !!! 90% Completed  , Apartments , 3 Bedrooms ,652 sq.ft, RM 363 240 
817 sq.ft, Damansara Damai ,  Hot Selling Fast Condo at Sepang ! Fast Contact me NOW!  , Apartments , 3 Bedrooms ,940 sq.ft, RM 236 000 
 3 Bedrooms , USJ ,  High Rental and High Capital Gain at Cyberjaya! Grad it Now!  , Apartments , 3 Bedrooms ,900 sq.ft, RM 247 000 
 2 Bathrooms , Kelana Jaya ,  [MEDIUM COST BELOW MV CORNER] Apartment Puchong Permata 1  , Apartments , 4 Bedrooms ,800 sq.ft, RM 235 000 
"  Yesterday, 23:01   Saujana   ", Kelana Jaya ,  [HOT AREA NICE DECORATION] Condominium Prima U1 Shah Alam  , Apartments , 3 Bedrooms ,864 sq.ft, RM 300 000 
 Apartments , Puchong ,  [ 700SQFT LEVEL 1 ] Flat PKNS Seksyen 16 Shah Alam  , Apartments , 3 Bedrooms ,857 sq.ft, RM 200 000 
855 sq.ft, Bangi ,  Duplex Townhouse Sri Mahligai Seksyen 9 Shah Alam  , Apartments , 3 Bedrooms ,720 sq.ft, RM 490 000 
 3 Bedrooms , Ara Damansara ,  New Condo With Promotion in Putrajaya (7 Unit Left)  , Apartments , 4 Bedrooms ,864 sq.ft, RM 399 999 
 2 Bathrooms , Seri Kembangan ,  (7 Unit Left With Promotion) New Condo in Damansara Damai  , Apartments , 4 Bedrooms ,1423 sq.ft, RM 350 000 
"  Yesterday, 22:45   Klang   ", Bangi ,"  Taman Sri Sentosa, Jalan Bendahara, Freehold, Level 3  ", Apartments , 2 Bedrooms ,487 sq.ft, RM 90 000 
 Apartments , Bangi ,  SKIM 1st HOME FULLOAN Sri Gotong Banjaria [ BULANAN 1K+- ]  , Apartments , 3 Bedrooms ,720 sq.ft, RM 240 000 
1200 sq.ft, Klang ,  BELOW MARKET VALUE APPARTMENT menara u2 sebelah Aeon Shah Alam  , Apartments , 3 Bedrooms ,850 sq.ft, RM 300 000 
